Constituency Name,Constituency No.,Candidate No.,Candidate Name,Party Type,Party Name, Vote Secured, Total Valid Votes, % of Votes Secured Over Total Electors, % of Votes Secured Over Total Votes Poled, Status,Total Electors,Constituency Type
Rae Bareli,180,1,ADITI SINGH,N,INC,128319,207329,,,W,351313,GEN
Tulsipur,291,4,ZEBA RIZWAN,N,INC,43637,197479,,,L,367401,GEN
Paniyara,319,3,TALAT AZIZ,N,INC,48004,243886,,,L,398721,GEN
Amethi,186,1,AMEETA SINH,N,INC,20291,187717,,,FD,334542,GEN
Chandausi ,31,3,KM. VIMLESH KUMARI,N,INC,59337,224074,,,L,363443,SC
Padrauna,330,3,SHIVKUMARI DEVI,N,INC,41162,210742,,,L,348902,GEN
Manikpur,237,3,SAMPAT PAL,N,INC,40524,194557,,,L,325686,GEN
Kheragarh,92,1,KUSUMLATA DIXIT,N,INC,23088,198781,,,FD,309763,GEN
Caimpiyarganj,320,1,CHINTA YADAV,N,INC,58782,216710,,,L,364203,GEN
Misrikh ,153,4,SUNITA CHAUDHARY,S,RLD,1243,219695,,,FD,344960,SC
Ram Nagar,267,2,PUSHPA SHAHI,S,RLD,1552,223077,,,FD,326183,GEN
Iglas ,77,4,SULEKHA SINGH,S,RLD,28141,233621,,,FD,359630,SC
Sikandrabad,64,1,ASHA YADAV,S,RLD,17714,251950,,,FD,375269,GEN
Rae Bareli,180,3,BHARATI PANDEY,S,RLD,1233,207329,,,FD,351313,GEN
